taxon	taxon_detail	n_present	p_present
Adonis flammea	NA	3	0.020689655172413793
Aegilops crassa	NA	4	0.027586206896551724
Aizoanthemopsis hispanica	*Aizoon hispanicum*	7	0.04827586206896552
Ammi majus	NA	6	0.041379310344827586
Androsace maxima	NA	20	0.13793103448275862
Arnebia decumbens	NA	25	0.1724137931034483
Arnebia linearifolia	NA	14	0.09655172413793103
Atriplex prostrata	NA	4	0.027586206896551724
Avena sterilis	NA	3	0.020689655172413793
Bassia arabica	NA	3	0.020689655172413793
Bolboschoenus glaucus	NA	7	0.04827586206896552
Bolboschoenus maritimus	*Scirpus maritimus*	33	0.22758620689655173
Brachypodium distachyon	NA	4	0.027586206896551724
Bromus sterilis	NA	3	0.020689655172413793
Buglossoides arvensis	NA	25	0.1724137931034483
Buglossoides tenuiflora	NA	31	0.21379310344827587
Capparis spinosa	NA	5	0.034482758620689655
Carex divisa	NA	10	0.06896551724137931
Cephalaria syriaca	NA	3	0.020689655172413793
Chenopodium album	NA	5	0.034482758620689655
Cicer reticulatum	*Cicer arietinum*	6	0.041379310344827586
Ficus carica	NA	10	0.06896551724137931
Fumaria densiflora	NA	4	0.027586206896551724
Glaucium aleppicum	NA	3	0.020689655172413793
Gypsophila pilosa	NA	4	0.027586206896551724
Helianthemum ledifolium	NA	3	0.020689655172413793
Hordeum bulbosum	NA	6	0.041379310344827586
Hordeum murinum	NA	4	0.027586206896551724
Hordeum spontaneum	*Hordeum vulgare*	62	0.42758620689655175
Lathyrus aphaca	NA	4	0.027586206896551724
Lathyrus sativus	NA	4	0.027586206896551724
Vicia orientalis	*Lens culinaris*	17	0.11724137931034483
Linum bienne	*Linum usitatissimum*	11	0.07586206896551724
Lolium rigidum	NA	3	0.020689655172413793
Lolium temulentum	NA	5	0.034482758620689655
Medicago radiata	NA	21	0.14482758620689656
Phalaris paradoxa	NA	3	0.020689655172413793
Pistacia atlantica	NA	7	0.04827586206896552
Lathyrus oleraceus	*Pisum elatius*, *Pisum sativum*	8	0.05517241379310345
Poa bulbosa	NA	5	0.034482758620689655
Polygonum corrigioloides	NA	6	0.041379310344827586
Polygonum arenarium arenarium	*Polygonum venantianum*	7	0.04827586206896552
Prosopis farcta	NA	7	0.04827586206896552
Quercus ithaburensis	NA	3	0.020689655172413793
Rumex pulcher	NA	7	0.04827586206896552
Salsola kali	NA	6	0.041379310344827586
Secale cereale	NA	4	0.027586206896551724
Taeniatherum caput-medusae	NA	6	0.041379310344827586
Medicago astroites	*Trigonella astroites*	16	0.1103448275862069
Triticum aestivum compactum	NA	3	0.020689655172413793
Triticum turgidum dicoccum	*Triticum aestivum*, *Triticum dicoccoides*, *Triticum dicoccum*	64	0.4413793103448276
Triticum monococcum aegilopoides	*Triticum boeoticum*, *Triticum monococcum*	44	0.30344827586206896
Triticum durum	NA	4	0.027586206896551724
Gypsophila vaccaria	*Vaccaria pyramidata*	11	0.07586206896551724
Verbena officinalis	NA	3	0.020689655172413793
Vicia ervilia	NA	33	0.22758620689655173
Vicia faba	NA	8	0.05517241379310345
Vicia narbonensis	NA	3	0.020689655172413793
Vitis sylvestris	NA	4	0.027586206896551724
Triticum urartu	NA	NA	NA
Aegilops speltoides	NA	NA	NA
Aegilops tauschii	NA	NA	NA
