taxon	taxon_detail	n_present	p_present	n_occ
Adonis dentata	NA	2	0.01709401709401709	850
Aegilops crassa	NA	4	0.03418803418803419	170
Aizoanthemopsis hispanica	*Aizoon hispanicum*	4	0.03418803418803419	581
Ammi majus	NA	4	0.03418803418803419	964
Androsace maxima	NA	17	0.1452991452991453	257
Arenaria serpyllifolia	NA	3	0.02564102564102564	795
Arnebia decumbens	NA	21	0.1794871794871795	376
Arnebia linearifolia	NA	13	0.1111111111111111	262
Asphodelus aestivus	NA	2	0.01709401709401709	128
Atriplex prostrata	NA	4	0.03418803418803419	303
Avena fatua	NA	2	0.01709401709401709	1050
Avena sterilis	NA	5	0.04273504273504273	53244
Bassia arabica	NA	4	0.03418803418803419	341
Bassia prostrata	NA	2	0.01709401709401709	46
Bolboschoenus glaucus	NA	5	0.04273504273504273	27
Bolboschoenus maritimus	*Scirpus maritimus*	29	0.24786324786324787	1144
Brachypodium distachyon	NA	5	0.04273504273504273	3022
Bromus sterilis	NA	3	0.02564102564102564	862
Buglossoides arvensis	NA	23	0.19658119658119655	294
Buglossoides tenuiflora	NA	26	0.2222222222222222	269
Camphorosma monspeliaca	NA	2	0.01709401709401709	38
Capparis spinosa	NA	4	0.03418803418803419	5709
Capsella bursa-pastoris	NA	2	0.01709401709401709	1663
Carex divisa	NA	9	0.07692307692307693	468
Celtis tournefortii	NA	2	0.01709401709401709	14
Ceratonia siliqua	NA	2	0.01709401709401709	5669
Chenopodium album	NA	5	0.04273504273504273	516
Cicer reticulatum	*Cicer arietinum*	3	0.02564102564102564	193
Citrullus colocynthis	NA	4	0.03418803418803419	537
Crithopsis delileana	NA	3	0.02564102564102564	514
Erodium ciconium	NA	2	0.01709401709401709	407
Euclidium syriacum	NA	3	0.02564102564102564	32
Ficus carica	NA	8	0.06837606837606838	4883
Fumaria densiflora	NA	4	0.03418803418803419	475
Gypsophila elegans	NA	3	0.02564102564102564	103
Gypsophila pilosa	NA	5	0.04273504273504273	184
Halothamnus hierochunticus	NA	2	0.01709401709401709	58
Helianthemum ledifolium	NA	2	0.01709401709401709	897
Helianthemum salicifolium	NA	2	0.01709401709401709	1672
Moltkia angustifolia	NA	2	0.01709401709401709	11
Henrardia pubescens	NA	3	0.02564102564102564	1
Hordeum bulbosum	NA	4	0.03418803418803419	3672
Hordeum murinum	NA	5	0.04273504273504273	2256
Hordeum spontaneum	*Hordeum vulgare*	51	0.4358974358974359	8960
Juglans regia	NA	2	0.01709401709401709	1225
Krascheninnikovia ceratoides	NA	2	0.01709401709401709	42
Lathyrus aphaca	NA	4	0.03418803418803419	2690
Lathyrus cicera	NA	2	0.01709401709401709	775
Lathyrus sativus	NA	4	0.03418803418803419	297
Vicia orientalis	*Lens culinaris*	14	0.11965811965811966	441
Lepidium perfoliatum	NA	3	0.02564102564102564	98
Lepidium ruderale	NA	2	0.01709401709401709	37
Linum bienne	*Linum usitatissimum*	9	0.07692307692307693	415
Lolium rigidum	NA	5	0.04273504273504273	3032
Lolium temulentum	NA	3	0.02564102564102564	182
Medicago minima	NA	2	0.01709401709401709	1822
Medicago radiata	NA	20	0.17094017094017094	941
Minuartia rubella	NA	2	0.01709401709401709	0
Moltkia coerulea	NA	2	0.01709401709401709	92
Peganum harmala	NA	2	0.01709401709401709	1023
Phalaris paradoxa	NA	3	0.02564102564102564	1250
Phragmites australis	NA	4	0.03418803418803419	4680
Pistacia atlantica	NA	6	0.05128205128205128	2233
Lathyrus oleraceus	*Pisum elatius*, *Pisum sativum*	6	0.05128205128205128	2416
Plantago lagopus	NA	2	0.01709401709401709	1934
Poa bulbosa	NA	5	0.04273504273504273	2241
Polygonum corrigioloides	NA	6	0.05128205128205128	4
Polygonum arenarium arenarium	*Polygonum venantianum*	7	0.05982905982905983	5
Prosopis farcta	NA	5	0.04273504273504273	2510
Quercus ithaburensis	NA	2	0.01709401709401709	2904
Rumex pulcher	NA	6	0.05128205128205128	2034
Salsola kali	NA	6	0.05128205128205128	560
Salvia absconditiflora	*Salvia cryptantha*	3	0.02564102564102564	116
Secale cereale	NA	4	0.03418803418803419	1153
Secale strictum	*Secale montanum*	3	0.02564102564102564	164
Stipa dregeana	NA	2	0.01709401709401709	91
Suaeda fruticosa	NA	3	0.02564102564102564	254
Taeniatherum caput-medusae	NA	4	0.03418803418803419	305
Neotorularia torulosa	*Torularia torulosa*	2	0.01709401709401709	616
Tribulus terrestris	NA	2	0.01709401709401709	1180
Medicago astroites	*Trigonella astroites*	15	0.1282051282051282	162
Triticum aestivum compactum	NA	2	0.01709401709401709	209
Triticum turgidum dicoccum	*Triticum aestivum*, *Triticum dicoccoides*, *Triticum dicoccum*	47	0.4017094017094017	200
Triticum monococcum aegilopoides	*Triticum boeoticum*, *Triticum monococcum*	36	0.3076923076923077	3213
Triticum durum	NA	3	0.02564102564102564	219
Triticum aestivum spelta	*Triticum spelta*	2	0.01709401709401709	16
Gypsophila vaccaria	*Vaccaria pyramidata*	8	0.06837606837606838	567
Verbena officinalis	NA	3	0.02564102564102564	1528
Vicia ervilia	NA	26	0.2222222222222222	873
Vicia faba	NA	7	0.05982905982905983	2578
Vicia narbonensis	NA	3	0.02564102564102564	1877
Vitis sylvestris	NA	3	0.02564102564102564	12
Zygophyllum fabago	NA	3	0.02564102564102564	309
Triticum urartu	NA	NA	NA	2033
Aegilops speltoides	NA	NA	NA	1484
Aegilops tauschii	NA	NA	NA	1395
